Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2016,EVANS,67,BRAD,55,W,+15.5,L,130.5,U
2016,S.ILL,71,EVANS,83,W,-7.0,W,147.5,O
2016,EVANS,80,DRAKE,74,W,+10.0,L,144.0,O
2016,EVANS,74,LOYCH,73,W,+5.0,L,131.5,O
2016,ILLST,70,EVANS,60,L,-10.0,L,138.0,U
2016,MIZST,64,EVANS,83,W,-13.5,W,139.0,O
2016,EVANS,54,NIOWA,57,L,-1.0,L,132.0,U
2015,ILLST,69,EVANS,67,L,-1.0,L,133.5,O
2015,EVANS,57,NIOWA,68,L,-12.0,W,121.5,O
2015,EVANS,43,WICHI,62,L,-15.0,L,127.5,U
2015,DRAKE,52,EVANS,61,W,-10.0,L,129.0,U
2015,EVANS,72,S.ILL,64,W,-1.0,W,130.5,O
2015,MIZST,66,EVANS,73,W,-7.5,L,124.5,O
2015,BRAD,56,EVANS,53,L,-8.0,L,126.5,U
2017,EVANS,69,ILLST,80,L,-10.0,L,127.0,O
2017,INDST,72,EVANS,83,W,-1.0,W,133.0,O
2016,NIOWA,56,EVANS,54,L,0.0,L,123.0,U
2016,INDST,42,EVANS,68,W,-7.5,W,137.5,U
2016,MIZST,56,EVANS,66,W,-13.5,L,139.0,U
2015,TNMAR,66,EVANS,79,W,-6.5,W,148.0,U
2015,EVANS,89,ULLAF,82,W,-3.0,W,154.0,O
2015,EVANS,83,E.ILL,68,W,+3.5,W,147.0,O
2015,IU-FW,77,EVANS,82,W,-7.0,L,150.0,O
2015,EVANS,67,ILLST,71,L,-4.5,W,127.0,O
2014,EVANS,58,WICHI,80,L,-17.5,L,135.5,O
2014,EVANS,69,DRAKE,61,W,-2.5,W,134.0,U
2014,EVANS,75,LOYCH,72,W,-3.0,W,134.0,O
2013,EVANS,58,E.CAR,81,L,+1.5,L,151.0,U
2013,EVANS,84,CANIS,83,W,-1.0,W,148.0,O
2013,EKENT,72,EVANS,86,W,-5.5,W,145.0,O
2013,TN.ST,72,EVANS,84,W,-8.5,W,147.0,O
2013,INDST,51,EVANS,50,L,-2.0,L,127.0,U
2013,INDST,68,EVANS,84,W,-6.0,W,128.0,O
2012,PRNCE,95,EVANS,86,L,-4.0,L,138.0,O
2012,EVANS,71,CREIG,99,L,-5.5,L,145.0,O
2012,MIZST,64,EVANS,72,W,+2.0,W,129.0,O
2011,EVANS,69,BOISE,75,L,-9.5,W,143.5,O
2011,HOFST,70,EVANS,77,W,-2.0,W,141.0,O
2011,EVANS,50,INDST,52,L,-4.0,W,130.5,U
2010,EVANS,46,MIZST,52,L,-9.5,W,131.0,U
2009,BELMT,92,EVANS,76,L,-5.5,L,138.5,O
2009,EVANS,68,ILLST,78,L,-4.5,L,129.5,O
2008,EVANS,46,MIZST,69,L,-10.5,L,129.0,U
2015,NARIZ,65,EVANS,71,W,-8.0,L,142.5,U
