Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2016,BC,72,NCST,73,L,-15.0,W,135.5,O
2015,BC,63,UNC,81,L,-12.5,L,146.5,U
2015,GATEC,65,BC,66,W,-3.0,L,125.0,O
2015,WAKE,61,BC,79,W,-4.0,W,139.0,O
2015,BC,66,VATEC,59,W,+1.0,W,134.0,U
2014,BC,70,GATEC,73,L,-1.0,L,133.5,O
2014,BC,68,NCST,78,L,-6.5,L,142.0,O
2014,FLAST,74,BC,70,L,+2.0,L,139.0,O
2014,BC,80,WAKE,72,W,-2.5,W,139.0,O
2013,BC,58,MIAMI,69,L,-10.0,L,130.0,U
2013,GATEC,64,BC,84,W,+1.5,W,126.0,O
2013,GATEC,72,BC,74,W,-5.0,L,127.5,O
2013,BC,68,CLEMS,61,W,-4.5,W,121.5,O
2013,VIRGA,52,BC,53,W,+4.0,W,125.0,U
2012,BC,57,NCST,78,L,-12.0,L,131.5,O
2012,BC,56,MIAMI,77,L,-14.5,L,132.5,O
2011,NWEST,85,BC,67,L,-4.5,L,140.5,O
2011,BC,82,MCNEE,64,W,+5.0,W,141.5,O
2011,BC,47,CLEMS,70,L,-4.5,L,129.5,U
2011,WAKE,67,BC,81,W,-13.0,W,143.0,O
2011,WAKE,68,BC,84,W,-16.5,L,144.5,O
